,id_oke,wojewodztwo,powiat,powiat_kod,liczba_zdajacych,wynik_avg,wynik_std,wynik_mediana,wynik_modalna,klasa_avg,wynagrodzenie_median
75,2,Śląskie,zawierciański,2416000,407,62.073710073710075,30.436859713723678,67.0,98,17,6626.26
78,2,Śląskie,żywiecki,2417000,876,64.56392694063926,29.663974662851828,73.0,98,17,6110.19
79,3,Lubelskie,bialski,601000,492,57.97764227642276,29.659269450878913,55.0,96,15,6096.37
81,3,Lubelskie,biłgorajski,602000,617,65.3354943273906,29.586276130842922,73.0,98,14,5657.85
83,3,Lubelskie,chełmski,603000,361,57.822714681440445,29.04856253635089,55.0,98,16,5986.25
84,3,Lubelskie,hrubieszowski,604000,236,54.6271186440678,29.607401906111107,51.0,27,13,6126.68
85,3,Lubelskie,janowski,605000,237,62.54430379746835,29.425353229841715,67.0,95,14,6003.92
86,3,Lubelskie,krasnostawski,606000,211,54.00947867298578,30.2366637432997,45.0,22,16,6101.48
87,3,Lubelskie,kraśnicki,607000,433,62.508083140877595,29.772354991330594,69.0,96,13,5778.21
88,3,Lubelskie,lubartowski,608000,486,63.05555555555556,29.098933698450725,67.0,98,15,5847.73
89,3,Lubelskie,lubelski,609000,841,66.23662306777646,29.36088769992086,75.0,98,16,6288.79
91,3,Lubelskie,opolski,612000,269,57.62825278810409,30.04066792967502,56.0,98,14,5717.61
92,3,Lubelskie,parczewski,613000,175,60.76,29.995992113233104,71.0,96,14,6137.01
93,3,Lubelskie,puławski,614000,425,61.29176470588235,31.24325136264379,67.0,96,17,6456.52
94,3,Lubelskie,radzyński,615000,356,55.331460674157306,30.185051347193745,49.0,98,13,5832.15
95,3,Lubelskie,rycki,616000,255,56.31372549019608,29.48505117824061,49.0,96,15,6409.42
96,3,Lubelskie,tomaszowski,618000,331,57.85498489425982,30.637784428176992,60.0,98,14,5702.9
97,3,Lubelskie,włodawski,619000,159,53.867924528301884,29.754786773626687,45.0,25,15,6286.4
98,3,Lubelskie,zamojski,620000,494,55.688259109311744,29.254363732170923,51.0,98,13,5837.92
100,3,Lubelskie,łukowski,611000,701,55.001426533523535,28.927845663668695,51.0,25,15,5742.88
101,3,Lubelskie,łęczyński,610000,328,61.207317073170735,30.004161420676308,65.0,98,16,6871.21
102,3,Lubelskie,świdnicki,617000,333,67.89189189189189,28.514582334834483,80.0,100,20,6605.69
103,3,Małopolskie,bocheński,1201000,900,68.2088888888889,27.43915954513203,75.5,98,17,6265.74
104,3,Małopolskie,brzeski,1202000,523,61.41491395793499,29.139375096517462,64.0,98,16,6025.04
105,3,Małopolskie,chrzanowski,1203000,434,69.1221198156682,29.136676479030825,82.0,98,18,6671.72
106,3,Małopolskie,dąbrowski,1204000,374,60.69251336898396,30.023236947147794,62.0,98,16,5748.1
107,3,Małopolskie,gorlicki,1205000,665,59.37293233082707,28.617401320153615,60.0,100,16,5827.78
108,3,Małopolskie,krakowski,1206000,1823,73.37849698299506,27.074518133012024,85.0,100,18,6901.15
110,3,Małopolskie,limanowski,1207000,949,59.82297154899894,28.603061933484312,60.0,96,16,5585.77
111,3,Małopolskie,miechowski,1208000,290,62.83448275862069,28.924995465228612,67.0,96,17,6178.46
112,3,Małopolskie,myślenicki,1209000,946,68.86892177589851,27.51216809980669,77.0,98,18,5899.36
113,3,Małopolskie,nowosądecki,1210000,1627,62.72280270436386,28.337807540698815,65.0,98,16,5671.83
114,3,Małopolskie,nowotarski,1211000,1326,61.0052790346908,28.831451778381503,65.0,98,16,5439.22
116,3,Małopolskie,olkuski,1212000,423,69.15602836879432,28.93465786619416,80.0,98,17,6580.95
117,3,Małopolskie,oświęcimski,1213000,564,67.62943262411348,29.05685156864625,80.0,98,19,6710.28
118,3,Małopolskie,proszowicki,1214000,184,56.91304347826087,29.84403376902669,57.0,93,16,6161.61
119,3,Małopolskie,suski,1215000,530,66.35094339622641,28.26020351808508,73.0,98,17,5675.45
120,3,Małopolskie,tarnowski,1216000,1190,62.79159663865546,29.2960019064521,66.0,98,15,5911.84
122,3,Małopolskie,tatrzański,1217000,348,62.445402298850574,29.46447123347101,68.0,98,16,5455.9
123,3,Małopolskie,wadowicki,1218000,989,67.27098078867543,28.075684530011927,75.0,100,18,5852.13
124,3,Małopolskie,wielicki,1219000,929,73.71689989235738,26.95046975255557,85.0,100,18,6940.03
125,3,Podkarpackie,bieszczadzki,1801000,150,61.32,28.88144040729271,63.0,95,16,6109.49
126,3,Podkarpackie,brzozowski,1802000,410,64.55121951219512,27.310831604018084,67.0,98,15,5884.68
127,3,Podkarpackie,dębicki,1803000,752,63.72739361702128,29.38471694631885,69.0,98,16,6085.81
128,3,Podkarpackie,jarosławski,1804000,679,62.00883652430044,29.16607131120459,64.0,98,15,5928.04
129,3,Podkarpackie,jasielski,1805000,547,64.81535648994516,29.169251766867646,71.0,98,14,5811.24
130,3,Podkarpackie,kolbuszowski,1806000,420,65.33333333333333,28.40654407054378,71.0,96,13,5730.55
132,3,Podkarpackie,krośnieński,1807000,597,61.710217755443885,28.546499363595046,62.0,96,14,5700.66
133,3,Podkarpackie,leski,1821000,103,62.213592233009706,28.85775307155046,65.0,96,13,5863.62
134,3,Podkarpackie,leżajski,1808000,386,60.56217616580311,27.73220419779949,58.0,96,17,5894.89
135,3,Podkarpackie,lubaczowski,1809000,337,63.73293768545994,29.058314662311734,69.0,98,15,5930.81
136,3,Podkarpackie,mielecki,1811000,1039,71.18575553416747,27.226267343804754,82.0,98,17,6068.3
137,3,Podkarpackie,niżański,1812000,358,62.08659217877095,29.747274211658905,67.0,98,15,6018.06
138,3,Podkarpackie,przemyski,1813000,384,61.109375,29.201054412059193,64.0,98,11,6024.82
140,3,Podkarpackie,przeworski,1814000,469,63.014925373134325,28.44299635456084,67.0,98,15,5850.2
141,3,Podkarpackie,ropczycko-sędziszowski,1815000,439,61.817767653758544,29.81833460118,67.0,98,16,5852.25
142,3,Podkarpackie,rzeszowski,1816000,959,67.03858185610011,28.237772875476036,75.0,98,17,6204.44
144,3,Podkarpackie,sanocki,1817000,409,67.14425427872861,27.8768900703436,75.0,98,16,6105.17
145,3,Podkarpackie,stalowowolski,1818000,412,68.47087378640776,28.58281488943116,78.0,98,17,6444.65
146,3,Podkarpackie,strzyżowski,1819000,346,67.32658959537572,28.18549699704257,76.0,96,13,5769.23
148,3,Podkarpackie,tarnobrzeski,1820000,202,68.47029702970298,27.348531716355204,80.0,98,15,6268.86
149,3,Podkarpackie,łańcucki,1810000,467,62.276231263383295,28.673879441784994,69.0,96,17,6044.08
150,4,Podlaskie,augustowski,2001000,262,59.49236641221374,30.312588064423863,63.0,98,17,6290.53
151,4,Podlaskie,białostocki,2002000,635,62.277165354330705,29.56980847193884,67.0,96,18,6395.68
153,4,Podlaskie,bielski,2003000,196,58.433673469387756,29.48556701194378,62.0,20,14,5954.89
